entity	יֵשׁוּת
abstraction	הַפְשָׁטָה
abstract entity	הַפְשָׁטָה
object	אוֹבְּיֶקְט
object	חֵפֶץ
physical object	אוֹבְּיֶקְט
physical object	חֵפֶץ
burp	גִּהֵק
bubble	גִּהֵק
belch	גִּהֵק
eruct	גִּהֵק
whole	מִכְלוֹל
unit	מִכְלוֹל
hiccup	שִׁהֵק
hiccough	שִׁהֵק
exhale	נָפַח
exhale	נָשַׁף
expire	נָפַח
expire	נָשַׁף
breathe out	נָפַח
breathe out	נָשַׁף
organism	חַי
being	חַי
sneeze	הִתְעַטֵּשׁ
inhale	שָׁאַף
inspire	שָׁאַף
breathe in	שָׁאַף
cough	הִשְׁתַּעֵל
relative	יַחֲסִי
comparative	יַחֲסִי
life	חַיִּים
cell	תָּא
approximately	כְּ
approximately	לְעֵרֶךְ
approximately	בְּעֶרֶךְ
approximately	פָּחוֹת-אוֹ-יוֹתֵר
about	כְּ
about	לְעֵרֶךְ
about	בְּעֶרֶךְ
about	פָּחוֹת-אוֹ-יוֹתֵר
close to	כְּ
close to	לְעֵרֶךְ
close to	בְּעֶרֶךְ
close to	פָּחוֹת-אוֹ-יוֹתֵר
just about	כְּ
just about	לְעֵרֶךְ
just about	בְּעֶרֶךְ
just about	פָּחוֹת-אוֹ-יוֹתֵר
some	כְּ
some	לְעֵרֶךְ
some	בְּעֶרֶךְ
some	פָּחוֹת-אוֹ-יוֹתֵר
roughly	כְּ
roughly	לְעֵרֶךְ
roughly	בְּעֶרֶךְ
roughly	פָּחוֹת-אוֹ-יוֹתֵר
more or less	כְּ
more or less	לְעֵרֶךְ
more or less	בְּעֶרֶךְ
more or less	פָּחוֹת-אוֹ-יוֹתֵר
around	כְּ
around	לְעֵרֶךְ
around	בְּעֶרֶךְ
around	פָּחוֹת-אוֹ-יוֹתֵר
or so	כְּ
or so	לְעֵרֶךְ
or so	בְּעֶרֶךְ
or so	פָּחוֹת-אוֹ-יוֹתֵר
causal agent	יֵשׁוּת-גּוֹרֶמֶת
