rank,headword,sfi,u_per_million
1,the,87.85,60910
2,be,86.86,48575
3,and,84.88,30789
4,of,84.79,30126
5,to,84.66,29272
6,a,84.45,27872
7,in,83.25,21142
8,have,81.53,14210
9,it,81.39,13772
10,you,81.08,12810
11,he,80.42,11017
12,for,80.01,10025
13,they,79.9,9764
14,not,79.77,9494
15,that,79.37,8653
16,we,79.24,8401
17,on,78.9,7763
18,with,78.68,7381
19,this,78.45,7003
20,I,78.34,6820
21,do,78.33,6802
22,as,78.29,6747
23,at,77.46,5570
24,she,77.16,5195
25,but,77.06,5087
26,from,76.63,4598
27,by,76.36,4323
28,will,76.23,4195
29,or,76.09,4060
30,say,75.35,3425
31,go,75.13,3260
32,so,75.09,3227
33,all,75.02,3175
34,if,74.78,3009
35,one,74.77,2997
36,would,74.77,2997
37,about,74.72,2967
38,can,74.61,2890
39,which,74.6,2886
40,there,74.5,2820
41,know,74.21,2634
42,more,74.2,2631
43,get,74.1,2573
44,who,74.04,2534
45,like,73.92,2465
46,when,73.86,2435
47,think,73.86,2433
48,make,73.73,2359
49,time,73.62,2302
50,see,73.48,2226
51,what,73.43,2204
52,up,73.32,2150
53,some,73.28,2130
54,other,73.22,2100
55,out,73.15,2064
56,good,73.09,2038
57,people,73.05,2019
58,year,72.9,1949
59,take,72.73,1873
60,no,72.68,1854
61,well,72.64,1835
62,because,72.61,1824
63,very,72.53,1792
64,just,72.43,1751
65,come,72.29,1694
66,could,72.27,1688
67,work,72.24,1674
68,use,72.19,1657
69,than,72.02,1591
70,now,71.94,1563
71,then,71.91,1554
72,also,71.91,1552
73,into,71.7,1477
74,only,71.69,1475
75,look,71.37,1370
76,want,71.31,1354
77,give,71.24,1332
78,first,71.21,1321
79,new,71.1,1290
80,way,71.07,1279
81,find,70.92,1236
82,over,70.92,1235
83,any,70.88,1224
84,after,70.83,1210
85,day,70.75,1187
86,where,70.75,1187
87,thing,70.65,1161
88,most,70.59,1146
89,should,70.54,1132
90,need,70.53,1129
91,much,70.51,1125
92,right,70.47,1113
93,how,70.39,1093
94,back,70.22,1051
95,mean,70.09,1021
96,even,69.95,988
97,may,69.82,959
98,here,69.77,947
99,many,69.75,945
100,such,69.71,936
101,last,69.62,917
102,child,69.59,910
103,tell,69.55,901
104,really,69.4,870
105,call,69.39,869
106,before,69.29,849
107,company,69.25,842
108,through,69.23,838
109,down,69.21,833
110,show,69.18,827
111,life,69.09,812
112,man,69.07,807
113,change,69.02,799
114,place,69,795
115,long,68.98,791
116,between,68.94,784
117,feel,68.92,780
118,too,68.82,763
119,still,68.76,752
120,problem,68.65,733
121,write,68.65,732
122,same,68.58,721
123,lot,68.54,715
124,great,68.51,710
125,try,68.45,699
126,leave,68.44,699
127,number,68.44,698
128,both,68.42,695
129,own,68.4,693
130,part,68.4,692
131,point,68.35,684
132,little,68.33,681
133,help,68.32,680
134,ask,68.29,675
135,meet,68.26,671
136,start,68.26,669
137,talk,68.23,665
138,something,68.23,665
139,put,68.16,655
140,another,68.16,655
141,become,68.15,654
142,interest,68.15,653
143,country,68.15,653
144,old,68.11,647
145,each,68.1,646
146,school,68.05,638
147,late,68.05,638
148,high,68.04,637
149,different,68.03,636
150,off,68,630
151,next,67.92,620
152,end,67.92,619
153,live,67.84,608
154,why,67.83,607
155,while,67.77,598
156,world,67.76,597
157,week,67.75,596
158,play,67.73,593
159,might,67.68,587
160,must,67.68,586
161,home,67.67,585
162,never,67.63,580
163,include,67.6,575
164,course,67.6,575
165,house,67.57,572
166,report,67.56,570
167,group,67.55,569
168,case,67.55,569
169,woman,67.55,568
170,around,67.54,568
171,book,67.53,566
172,family,67.52,565
173,seem,67.5,562
174,let,67.44,555
175,again,67.44,554
176,kind,67.43,554
177,keep,67.41,551
178,hear,67.37,546
179,system,67.36,545
180,every,67.36,545
181,question,67.34,542
182,during,67.32,540
183,always,67.25,531
184,big,67.22,527
185,set,67.21,526
186,small,67.2,525
187,study,67.19,524
188,follow,67.17,521
189,begin,67.14,518
190,important,67.14,518
191,since,67.12,515
192,run,67.08,510
193,under,67.07,509
194,turn,67.07,509
195,few,67.07,509
196,bring,67,502
197,early,66.98,499
198,hand,66.97,497
199,state,66.94,494
200,move,66.93,493
201,money,66.92,492
202,fact,66.86,486
203,however,66.8,479
204,area,66.78,477
205,provide,66.78,476
206,name,66.74,472
207,read,66.73,471
208,friend,66.7,468
209,month,66.7,468
210,large,66.67,464
211,business,66.67,464
212,without,66.64,461
213,information,66.62,459
214,open,66.61,459
215,order,66.59,456
216,government,66.58,455
217,word,66.58,455
218,issue,66.56,453
219,market,66.53,450
220,pay,66.51,447
221,build,66.5,446
222,hold,66.45,442
223,service,66.44,440
224,against,66.39,436
225,believe,66.38,435
226,second,66.36,433
227,though,66.34,430
228,yes,66.33,430
229,love,66.3,427
230,increase,66.28,425
231,job,66.28,425
232,plan,66.28,425
233,result,66.27,424
234,away,66.27,424
235,example,66.24,420
236,happen,66.23,420
237,offer,66.21,418
238,young,66.2,417
239,close,66.19,416
240,program,66.17,414
241,lead,66.13,410
242,buy,66.07,405
243,understand,66.05,403
244,thank,66.01,399
245,far,66,398
246,today,65.94,392
247,hour,65.93,391
248,student,65.92,391
249,face,65.91,390
250,hope,65.89,388
251,idea,65.87,387
252,cost,65.86,386
253,less,65.86,385
254,room,65.85,385
255,until,65.83,383
256,reason,65.83,383
257,form,65.79,379
258,spend,65.78,378
259,head,65.77,378
260,car,65.77,377
261,learn,65.74,375
262,level,65.71,373
263,person,65.66,368
264,experience,65.63,365
265,once,65.62,365
266,member,65.61,364
267,enough,65.6,363
268,bad,65.59,363
269,city,65.59,362
270,night,65.58,361
271,able,65.57,361
272,support,65.55,359
273,whether,65.55,359
274,line,65.54,358
275,present,65.54,358
276,side,65.51,356
277,quite,65.5,354
278,although,65.46,351
279,sure,65.45,351
280,term,65.44,350
281,least,65.44,350
282,age,65.43,349
283,low,65.43,349
284,speak,65.42,348
285,within,65.4,347
286,process,65.4,346
287,public,65.35,343
288,often,65.33,341
289,train,65.29,338
290,possible,65.28,337
291,actually,65.28,337
292,rather,65.27,336
293,view,65.26,336
294,together,65.24,334
295,consider,65.24,334
296,price,65.14,327
297,parent,65.14,326
298,hard,65.12,325
299,party,65.08,322
300,local,65.06,321
301,control,65.05,320
302,already,65.02,318
303,concern,65.02,317
304,product,65.01,317
305,lose,65,316
306,story,64.98,315
307,almost,64.98,315
308,continue,64.96,314
309,stand,64.95,313
310,whole,64.95,313
311,yet,64.95,313
312,rate,64.94,312
313,care,64.93,311
314,expect,64.93,311
315,effect,64.93,311
316,sort,64.92,311
317,ever,64.92,311
318,anything,64.92,310
319,cause,64.9,309
320,fall,64.89,309
321,deal,64.89,309
322,water,64.87,307
323,send,64.86,306
324,allow,64.84,305
325,soon,64.84,304
326,watch,64.8,302
327,base,64.78,300
328,probably,64.75,299
329,suggest,64.74,298
330,past,64.73,297
331,power,64.72,296
332,test,64.71,296
333,visit,64.7,295
334,center,64.7,295
335,grow,64.69,294
336,nothing,64.68,294
337,return,64.68,294
338,mother,64.67,293
339,walk,64.63,291
340,matter,64.63,290
341,mind,64.62,290
342,value,64.61,289
343,office,64.59,288
344,record,64.59,287
345,stay,64.57,286
346,force,64.57,286
347,stop,64.55,285
348,several,64.54,285
349,light,64.53,284
350,develop,64.51,282
351,remember,64.5,282
352,bit,64.49,281
353,share,64.48,281
354,real,64.47,280
355,answer,64.46,279
356,sit,64.44,278
357,figure,64.43,278
358,letter,64.43,277
359,decide,64.41,276
360,language,64.39,275
361,subject,64.35,273
362,class,64.35,272
363,development,64.31,270
364,town,64.31,269
365,half,64.29,269
366,minute,64.28,268
367,food,64.28,268
368,break,64.28,268
369,clear,64.25,266
370,future,64.24,266
371,either,64.24,266
372,ago,64.24,265
373,per,64.24,265
374,remain,64.24,265
375,top,64.23,265
376,among,64.23,265
377,win,64.21,264
378,color,64.2,263
379,involve,64.16,260
380,reach,64.15,260
381,social,64.15,260
382,period,64.13,259
383,across,64.12,258
384,note,64.12,258
385,history,64.12,258
386,create,64.11,258
387,drive,64.11,258
388,along,64.1,257
389,type,64.09,257
390,sound,64.08,256
391,eye,64.07,256
392,music,64.07,255
393,game,64.07,255
394,political,64.06,255
395,free,64.06,255
396,receive,64.05,254
397,moment,64.05,254
398,sale,64.04,254
399,policy,64.04,253
400,further,63.99,251
401,body,63.98,250
402,require,63.97,249
403,wait,63.96,249
404,general,63.95,248
405,appear,63.95,248
406,toward,63.95,248
407,team,63.95,248
408,easy,63.95,248
409,individual,63.95,248
410,full,63.95,248
411,black,63.94,248
412,sense,63.92,247
413,perhaps,63.91,246
414,add,63.89,245
415,rule,63.88,245
416,pass,63.86,243
417,produce,63.86,243
418,sell,63.86,243
419,short,63.81,241
420,agree,63.81,240
421,law,63.79,239
422,everything,63.77,238
423,research,63.75,237
424,cover,63.73,236
425,paper,63.73,236
426,position,63.72,236
427,near,63.72,236
428,human,63.72,235
429,computer,63.72,235
430,situation,63.7,235
431,staff,63.7,234
432,activity,63.68,234
433,film,63.66,232
434,morning,63.65,232
435,war,63.63,231
436,account,63.63,231
437,shop,63.62,230
438,major,63.59,229
439,someone,63.58,228
440,above,63.58,228
441,design,63.58,228
442,event,63.57,228
443,special,63.57,228
444,sometimes,63.57,227
445,condition,63.54,226
446,carry,63.54,226
447,choose,63.53,225
448,father,63.51,225
449,decision,63.51,224
450,table,63.5,224
451,certain,63.49,223
452,forward,63.48,223
453,main,63.48,223
454,die,63.47,222
455,bear,63.45,222
456,cut,63.45,221
457,describe,63.43,220
458,himself,63.42,220
459,available,63.42,220
460,especially,63.42,220
461,strong,63.38,218
462,rise,63.38,218
463,girl,63.37,217
464,maybe,63.37,217
465,community,63.37,217
466,else,63.34,216
467,particular,63.33,215
468,role,63.33,215
469,join,63.33,215
470,difficult,63.32,215
471,please,63.28,213
472,detail,63.28,213
473,difference,63.27,212
474,action,63.21,210
475,health,63.21,209
476,eat,63.19,209
477,step,63.18,208
478,true,63.17,208
479,phone,63.16,207
480,themselves,63.16,207
481,draw,63.15,207
482,white,63.14,206
483,date,63.13,205
484,practice,63.12,205
485,model,63.12,205
486,raise,63.11,205
487,customer,63.11,205
488,front,63.07,203
489,explain,63.06,202
490,door,63.05,202
491,outside,63.02,200
492,behind,63.01,200
493,economic,62.99,199
494,site,62.98,199
495,approach,62.98,199
496,teacher,62.98,199
