rank	word	occurrences	as_semantic	as_orthographic
1	borrow	43	43	0
2	repair	33	32	1
3	count	25	25	0
4	carry	22	22	0
5	weight	19	19	0
6	repeat	11	11	0
7	arrive	10	10	0
8	belong	9	9	0
9	reach	9	8	1
10	voice	9	9	0
11	silence	8	8	0
12	promise	8	8	0
13	invitation	8	7	1
14	clean	7	6	1
15	listen	7	7	0
16	advice	7	7	0
17	empty	7	7	0
18	shape	7	5	2
19	silent	7	7	0
20	complaint	7	6	1
21	collect	7	5	2
22	sell	6	5	1
23	lake	6	1	5
24	busy	6	4	2
25	cold	6	0	6
26	forget	6	6	0
27	paint	6	5	1
28	lesson	6	5	1
29	mistake	6	6	0
30	deep	5	4	1
31	wide	5	4	1
32	smell	5	4	1
33	later	5	3	2
34	wait	5	4	1
35	cover	5	3	2
36	wall	5	1	4
37	hurry	5	5	0
38	size	5	4	1
39	alone	5	4	1
40	border	5	3	2
41	clock	5	4	1
42	opinion	5	5	0
43	sudden	5	4	1
44	cheap	5	5	0
45	quiet	5	4	1
46	ticket	5	5	0
47	engine	5	5	0
48	ground	4	1	3
49	narrow	4	4	0
50	hate	4	2	2
51	shout	4	3	1
52	cook	4	4	0
53	thin	4	2	2
54	above	4	2	2
55	hole	4	1	3
56	teacher	4	4	0
57	ready	4	3	1
58	customer	4	4	0
59	double	4	3	1
60	describe	4	4	0
61	weather	4	3	1
62	guest	4	4	0
63	suppose	4	0	4
64	prize	4	3	1
65	sound	4	4	0
66	paper	4	4	0
67	reward	4	2	2
68	corner	4	4	0
69	permission	4	4	0
70	finish	3	3	0
71	onto	3	2	1
72	feed	3	2	1
73	match	3	0	3
74	an	3	1	2
75	wish	3	0	3
76	mark	3	0	3
77	white	3	0	3
78	certain	3	1	2
79	title	3	1	2
80	modern	3	3	0
81	text	3	0	3
82	bend	3	0	3
83	half	3	3	0
84	afraid	3	2	1
85	roof	3	2	1
86	habit	3	3	0
87	crowd	3	3	0
88	boot	3	0	3
89	smile	3	3	0
90	moment	3	3	0
91	prove	3	2	1
92	picture	3	3	0
93	speed	3	3	0
94	invite	3	3	0
95	reader	3	3	0
96	kitchen	3	3	0
97	building	3	3	0
98	surface	3	2	1
99	degree	3	3	0
100	farm	3	0	3
101	unless	3	3	0
102	circle	3	2	1
103	pleasant	3	0	3
104	hardly	3	3	0
105	private	3	3	0
106	contrast	3	0	3
107	spell	3	3	0
108	agree	3	3	0
109	deliver	3	2	1
110	remove	3	1	2
111	noise	3	3	0
112	musical	3	3	0
113	shadow	3	3	0
114	memory	3	3	0
115	guilty	3	3	0
116	extend	3	0	3
117	chain	3	1	2
118	rest	2	2	0
119	false	2	1	1
120	plate	2	1	1
121	charge	2	0	2
122	college	2	1	1
123	hospital	2	2	0
124	shoulder	2	1	1
125	quick	2	2	0
126	teach	2	2	0
127	simple	2	2	0
128	burn	2	1	1
129	nearly	2	1	1
130	drop	2	2	0
131	lock	2	1	1
132	join	2	1	1
133	earn	2	2	0
134	fist	2	0	2
135	across	2	2	0
136	ought	2	2	0
137	block	2	1	1
138	adult	2	1	1
139	tall	2	0	2
140	boy	2	2	0
141	stage	2	1	1
142	is	2	0	2
143	ran	2	0	2
144	tame	2	0	2
145	touch	2	2	0
146	sea	2	0	2
147	poor	2	2	0
148	near	2	1	1
149	fill	2	0	2
150	short	2	1	1
151	skill	2	0	2
152	loud	2	2	0
153	dry	2	0	2
154	green	2	0	2
155	total	2	1	1
156	citizen	2	2	0
157	court	2	1	1
158	wave	2	2	0
159	print	2	1	1
160	interior	2	0	2
161	tax	2	2	0
162	king	2	0	2
163	throw	2	1	1
164	pray	2	0	2
165	window	2	2	0
166	street	2	2	0
167	cash	2	0	2
168	shelf	2	2	0
169	heart	2	0	2
170	aloud	2	0	2
171	wonder	2	1	1
172	band	2	0	2
173	explain	2	2	0
174	history	2	2	0
175	tissue	2	0	2
176	writer	2	2	0
177	climb	2	2	0
178	machine	2	1	1
179	secret	2	0	2
180	actor	2	1	1
181	road	2	2	0
182	trouble	2	2	0
183	danger	2	1	1
184	table	2	0	2
185	lie	2	0	2
186	floor	2	2	0
187	altogether	2	0	2
188	proud	2	1	1
189	team	2	0	2
190	publish	2	0	2
191	brain	2	0	2
192	garden	2	1	1
193	accept	2	2	0
194	herd	2	0	2
195	partly	2	0	2
196	concert	2	0	2
197	waste	2	2	0
198	loose	2	0	2
199	sharp	2	1	1
200	valley	2	0	2
201	hang	2	2	0
202	sand	2	0	2
203	vision	2	0	2
204	ear	2	2	0
205	length	2	2	0
206	enter	2	0	2
207	movement	2	0	2
208	rare	2	0	2
209	full	2	0	2
210	wind	2	1	1
211	waiter	2	0	2
212	tower	2	0	2
213	object	2	0	2
214	mine	2	0	2
215	sweet	2	2	0
216	step	2	0	2
217	glass	2	0	2
218	master	2	0	2
219	electric	2	2	0
220	special	2	0	2
221	prepare	2	2	0
222	meeting	2	2	0
223	tape	2	0	2
224	ship	2	0	2
225	nose	2	0	2
226	bill	2	2	0
227	trip	2	0	2
228	field	2	2	0
229	reply	2	2	0
230	reserve	2	0	2
231	agreement	2	0	2
232	relief	2	0	2
233	modest	2	2	0
234	warning	2	2	0
235	content	2	0	2
236	excuse	2	2	0
237	explanation	2	0	2
238	invent	2	1	1
239	protection	2	0	2
240	comfort	2	1	1
241	estate	2	0	2
242	pain	2	0	2
243	enjoy	2	0	2
244	decision	2	0	2
245	wash	2	2	0
246	hunger	2	2	0
